question,answer
좀비 몰려오면 진짜 아수라장 되는 게임 없냐? 총쏘는 맛도 좀 있는 걸로,"7 Days to Die은(는) PC, PS4, Xbox 플랫폼에서 플레이할 수 있는 좀비 서바이벌 장르의 게임으로, 2016년에 출시되었습니다. 평점은 Steam 유저 평가는 '대체로 긍정적' 이며, 리뷰에서는 ""Blends FPS, survival horror, and tower defense."" 라고 평가받았습니다. 추천 이유: 좀비 파도에 대비해 기지를 강화하는 생존의 묘미가 있습니다."
건물 짓고 방어선 만드는 거 좋아하면 뭐 해야 됨? 좀비 나오는 걸로,"7 Days to Die은(는) PC, PS4, Xbox 플랫폼에서 플레이할 수 있는 좀비 서바이벌 장르의 게임으로, 2016년에 출시되었습니다. 평점은 Steam 유저 평가는 '대체로 긍정적' 이며, 리뷰에서는 ""Blends FPS, survival horror, and tower defense."" 라고 평가받았습니다. 추천 이유: 좀비 파도에 대비해 기지를 강화하는 생존의 묘미가 있습니다."
마인크래프트랑 비슷한데 좀 더 하드코어한 생존겜 있을까?,"7 Days to Die은(는) PC, PS4, Xbox 플랫폼에서 플레이할 수 있는 좀비 서바이벌 장르의 게임으로, 2016년에 출시되었습니다. 평점은 Steam 유저 평가는 '대체로 긍정적' 이며, 리뷰에서는 ""Blends FPS, survival horror, and tower defense."" 라고 평가받았습니다. 추천 이유: 좀비 파도에 대비해 기지를 강화하는 생존의 묘미가 있습니다."
밤만 되면 개쫄린다는 좀비 게임 그거 뭐더라?,"7 Days to Die은(는) PC, PS4, Xbox 플랫폼에서 플레이할 수 있는 좀비 서바이벌 장르의 게임으로, 2016년에 출시되었습니다. 평점은 Steam 유저 평가는 '대체로 긍정적' 이며, 리뷰에서는 ""Blends FPS, survival horror, and tower defense."" 라고 평가받았습니다. 추천 이유: 좀비 파도에 대비해 기지를 강화하는 생존의 묘미가 있습니다."
분위기 있는 퍼즐겜 없냐? 스토리 좀 감성적인 걸로,"A Juggler’s Tale은 PC, PS4, Xbox, Switch에서 즐길 수 있는 퍼즐 플랫포머 게임입니다. 2021년에 출시되었으며, 평점은 '긍정적'입니다. 리뷰에서는 ""인형극처럼 구성된 세계와 감성적인 이야기""라고 평가받았습니다. 추천 이유: 줄에 묶인 인형의 시점을 통해 자유와 운명에 대해 생각하게 만드는 독창적인 작품입니다."
인형극 느낌 나는 게임 있다던데 그거 뭐야?,"A Juggler’s Tale은 PC, PS4, Xbox, Switch에서 즐길 수 있는 퍼즐 플랫포머 게임입니다. 2021년에 출시되었으며, 평점은 '긍정적'입니다. 리뷰에서는 ""인형극처럼 구성된 세계와 감성적인 이야기""라고 평가받았습니다. 추천 이유: 줄에 묶인 인형의 시점을 통해 자유와 운명에 대해 생각하게 만드는 독창적인 작품입니다."
플랫포머인데 줄에 묶여서 움직이는 캐릭터 나오는 게임 알아?,"A Juggler’s Tale은 PC, PS4, Xbox, Switch에서 즐길 수 있는 퍼즐 플랫포머 게임입니다. 2021년에 출시되었으며, 평점은 '긍정적'입니다. 리뷰에서는 ""인형극처럼 구성된 세계와 감성적인 이야기""라고 평가받았습니다. 추천 이유: 줄에 묶인 인형의 시점을 통해 자유와 운명에 대해 생각하게 만드는 독창적인 작품입니다."
짧고 감동적인 퍼즐겜 없냐? 엔딩 보고 여운 남는 거,"A Juggler’s Tale은 PC, PS4, Xbox, Switch에서 즐길 수 있는 퍼즐 플랫포머 게임입니다. 2021년에 출시되었으며, 평점은 '긍정적'입니다. 리뷰에서는 ""인형극처럼 구성된 세계와 감성적인 이야기""라고 평가받았습니다. 추천 이유: 줄에 묶인 인형의 시점을 통해 자유와 운명에 대해 생각하게 만드는 독창적인 작품입니다."
자유랑 운명 이런 거 다루는 인디게임 있을까?,"A Juggler’s Tale은 PC, PS4, Xbox, Switch에서 즐길 수 있는 퍼즐 플랫포머 게임입니다. 2021년에 출시되었으며, 평점은 '긍정적'입니다. 리뷰에서는 ""인형극처럼 구성된 세계와 감성적인 이야기""라고 평가받았습니다. 추천 이유: 줄에 묶인 인형의 시점을 통해 자유와 운명에 대해 생각하게 만드는 독창적인 작품입니다."
형제애 스토리 잘 뽑은 게임 없냐? 감정선 찢어지는 걸로,"A Plague Tale: Requiem은(는) PC, PS5, Xbox Series X/S, Switch (Cloud) 플랫폼에서 플레이할 수 있는 액션 어드벤처 장르의 게임으로, 2022년에 출시되었습니다. 평점은 Metacritic 85이며, 리뷰에서는 ""Visually stunning and emotionally resonant storytelling."" 라고 평가받았습니다. 추천 이유: 형제애를 중심으로 한 감성적 이야기와 영화 같은 연출이 인상적입니다."
